CNAG_00231	Uncharacterized protein
CNAG_04879	Glycogen debranching enzyme
CNAG_07475	Uncharacterized protein
CNAG_02942	Uncharacterized protein
CNAG_06556	Oxidoreductase
CNAG_00476	Uncharacterized protein
CNAG_05877	RNA polymerase II transcription factor B 38 kDa subunit (RNA polymerase II transcription factor B p38 subunit) (RNA polymerase II transcription factor B subunit 3)
CNAG_01127	Uncharacterized protein
CNAG_02371	Coiled-coil domain-containing protein 130
CNAG_01695	Uncharacterized protein
CNAG_08017	Epimerase domain-containing protein
CNAG_00135	Cyclophilin
CNAG_04947	High-affinity nicotinic acid transporter
CNAG_05744	2-dehydropantoate 2-reductase
CNAG_04287	Mitochondrial import inner membrane translocase subunit
CNAG_05721	Multifunctional beta-oxidation protein
CNAG_02059	CCR4-NOT complex subunit CAF16
CNAG_02083	Siderochrome-iron transporter
CNAG_04157	Kinetochore protein Mis12/MTW1
CNAG_00256	Aspartate-semialdehyde dehydrogenase (EC 1.2.1.11)
CNAG_07448	Urea transporter
CNAG_06875	Allantoate permease
CNAG_03938	Pheromone a factor receptor
CNAG_04664	Large subunit ribosomal protein L37
CNAG_05596	Nuclear transport factor 2
CNAG_00131	Alcohol dehydrogenase
CNAG_02061	Uncharacterized protein
CNAG_06122	Glycerol-1-phosphatase
CNAG_07892	Uncharacterized protein
CNAG_01821	Uncharacterized protein
CNAG_03834	C4-hydroxylase
CNAG_01899	Prefoldin alpha subunit
CNAG_03016	Chaperone regulator
CNAG_03311	3-hydroxy-3-methylglutaryl coenzyme A synthase (HMG-CoA synthase) (EC 2.3.3.10)
CNAG_01481	Uncharacterized protein
CNAG_05509	Imidazoleglycerol-phosphate dehydratase (EC 4.2.1.19)
CNAG_07520	Endopeptidase
CNAG_05522	Uncharacterized protein
CNAG_07176	Uncharacterized protein
CNAG_07389	Flavin-containing monooxygenase
CNAG_02772	Uncharacterized protein
CNAG_05781	Dynein light chain
CNAG_03517	NADH:ubiquinone reductase (non-electrogenic) (EC 1.6.5.9)
CNAG_04095	Alpha-L-rhamnosidase
CNAG_07768	Uncharacterized protein
CNAG_06373	Mitotic spindle assembly checkpoint protein MAD2B
CNAG_07893	Uncharacterized protein
CNAG_01612	CAMK/CAMKL protein kinase
CNAG_04299	Uncharacterized protein
CNAG_04056	Rhomboid domain-containing protein
CNAG_02964	Uncharacterized protein
CNAG_01065	Uncharacterized protein
CNAG_07076	Uncharacterized protein
CNAG_05016	Peptidase_M24 domain-containing protein
CNAG_05736	Uncharacterized protein
CNAG_07526	Uncharacterized protein
CNAG_06759	Dehydrogenase
CNAG_01570	Methyltransf_11 domain-containing protein
CNAG_04728	DNA-directed RNA polymerase III subunit RPC8
CNAG_06393	RNA polymerase II transcription factor B subunit 2
CNAG_04986	Prefoldin subunit 1
CNAG_04813	V-type ATPase
CNAG_06976	Ferric-chelate reductase
CNAG_04357	Uncharacterized protein
CNAG_07587	Uncharacterized protein
CNAG_00129	Uncharacterized protein
CNAG_00576	Mitochondrial protein
CNAG_04820	J domain-containing protein
CNAG_06516	Uncharacterized protein
CNAG_04527	Uncharacterized protein
CNAG_01078	Aldehyde dehydrogenase (NAD )
CNAG_05853	Cyclin-dependent kinases regulatory subunit
CNAG_01652	Peptide-N4-(N-acetyl-beta-glucosaminyl)asparagine amidase
CNAG_07386	Uncharacterized protein
CNAG_02757	Uncharacterized protein
CNAG_03043	Uncharacterized protein
CNAG_06881	SBDS family rRNA metabolism protein
CNAG_04692	Thymidylate synthase (EC 2.1.1.45)
CNAG_00573	NADH dehydrogenase (Ubiquinone) 1 alpha subcomplex 6
